ExclusionReason,PMID,Title,Publication.Year,Authors
Initial exclusion,12488492,Diminution of experimental autoimmune uveoretinitis (EAU) in mice depleted of NK cells,2002,"Kitaichi N, Kotake S, Morohashi T, Onoé K, Ohno S, Taylor AW."
Initial exclusion,9637493,NK cell modulation of murine cytomegalovirus retinitis,1998,"Bigger JE, Thomas CA 3rd, Atherton SS."
included,9929112,Quiescent nasal T/NK cell lymphoma manifested as primary central nervous system lymphoma,1999,"Yeh KH, Lien HC, Hsu SM, Cheng AL."
Initial exclusion,14580874,Influence of increased age on the development of herpes stromal keratitis,2003,"Turner J, Turner OC, Baird N, Orme IM, Wilcox CL, Baldwin SL."
Initial exclusion,3108394,Destructive and nondestructive patterns of immune rejection of syngeneic intraocular tumors,1987,"Knisely TL, Luckenbach MW, Fischer BJ, Niederkorn JY."
Initial exclusion,10581382,Perforin pathway is essential for protection of mice against lethal ocular HSV-1 challenge but not corneal scarring,1999,"Ghiasi H, Cai S, Perng G, Nesburn AB, Wechsler SL."
Initial exclusion,2154414,Immunologic evaluation of spontaneous regression of an intraocular murine melanoma,1990,"Knisely TL, Niederkorn JY."
Initial exclusion,16081840,Mechanisms of peripheral tolerance following intracameral inoculation are independent of IL-13 or STAT6,2005,"Nakamura T, Terajewicz A, Stein-Streilein J."
Not primary,27740876,Natural Killer T-Cell Lymphoma of the Orbit: An Evidence-Based Approach,2017,"Jiménez-Pérez JC, Yoon MK."
included,28966461,Natural killer/T-cell lymphoma invading the orbit and globe,2017,"Lyons LJ, Vrcek I, Somogyi M, Taheri K, Admirand JH, Chexal S, Loukas DF, Nakra T."
included,22800846,Natural killer T-cell lymphoma originating from the orbit,2012,"Dai W, Zhong M, Shen W, Zou K, Bai CG."
included,24831171,"Series of extranodal natural killer/T-cell lymphoma, nasal type, with periorbital involvement",2014,"Termote K, Dierickx D, Verhoef G, Jorissen M, Tousseyn T, Mombaerts I."
included,18356722,Natural killer/T-cell lymphoma masquerading as orbital cellulitis,2008,"Charton J, Witherspoon SR, Itani K, Jones FR, Marple B, Morse B."
included,19551687,Acute presentation of nasal-type natural killer/T-cell lymphoma of the orbit,2009,"Qin W, Yin Z, Madge SN."
included,30865070,Orbital Nasal-Type Extranodal Natural Killer/T-Cell Lymphoma: An Ongoing Diagnostic Challenge Further Confounded by Small-Cell Predominance,2019,"Wolkow N, Jakobiec FA, Habib LA, Freitag SK."
included,28328558,Dacryoadenitis as the Initial Presentation of a Natural Killer T-Cell Lymphoma,2017,"Jiménez-Pérez JC, Jakobiec FA, Zakka FR, Yoon MK."
Initial exclusion,32982337,Chronic Invasive Fungal Rhinosinusitis with Atypical Clinical Presentation in an Immunocompromised Patient,2020,"Kawaji-Kanayama Y, Nishimura A, Yasuda M, Sakiyama E, Shimura Y, Tsukamoto T, Kobayashi T, Mizutani S, Okamoto S, Ohmura G, Hirano S, Konishi E, Shibuya K, Kuroda J."
included,31124303,Primary intraocular natural killer/T-cell lymphoma unmasked with infective endophthalmitis after an intravitreal injection of bevacizumab,2019,"Abedi F, Borovik AM, Waring D, Hariz S, Francis IC."
Initial exclusion,21753698,Nonhepatosplenic γδ T-cell lymphomas represent a spectrum of aggressive cytotoxic T-cell lymphomas with a mainly extranodal presentation,2011,"Garcia-Herrera A, Song JY, Chuang SS, Villamor N, Colomo L, Pittaluga S, Alvaro T, Rozman M, de Anda Gonzalez J, Arrunategui AM, Fernandez E, Gonzalvo E, Estrach T, Colomer D, Raffeld M, Gaulard P, Campo E, Jaffe ES, Martinez A."
Initial exclusion,34074492,"Implications of microgravity-induced cell signaling alterations upon cancer cell growth, invasiveness, metastatic potential, and control by host immunity",2021,Gregg RK.
Initial exclusion,7923917,Immunohistochemical staining of retrobulbar adipose tissue in Graves' ophthalmopathy,1994,"Kahaly G, Hansen C, Felke B, Dienes HP."
